Voltage,ADC Buffer Value,Time
2.6162109375,893.0,3.0240533351898193
2.625,896.0,3.042921304702759
2.625,896.0,3.062741994857788
2.625,896.0,3.0833699703216553
2.625,896.0,3.102686882019043
2.625,896.0,3.123255968093872
2.625,896.0,3.143413782119751
2.625,896.0,3.1635043621063232
2.61328125,892.0,3.183281898498535
2.61328125,892.0,3.2027320861816406
2.625,896.0,3.222476005554199
2.625,896.0,3.2422447204589844
2.625,896.0,3.262392044067383
2.625,896.0,3.2828433513641357
2.61328125,892.0,3.3025929927825928
2.61328125,892.0,3.322601556777954
2.625,896.0,3.3426742553710938
2.625,896.0,3.3625986576080322
2.61328125,892.0,3.3826286792755127
2.625,896.0,3.401789426803589
2.625,896.0,3.4223742485046387
2.6162109375,893.0,3.4418320655822754
2.625,896.0,3.461862564086914
2.625,896.0,3.481504201889038
2.625,896.0,3.50129771232605
2.61328125,892.0,3.522120952606201
2.61328125,892.0,3.5416297912597656
2.625,896.0,3.561528444290161
2.625,896.0,3.581230878829956
2.625,896.0,3.6016054153442383
2.61328125,892.0,3.6216306686401367
2.61328125,892.0,3.640895128250122
2.61328125,892.0,3.6614487171173096
2.625,896.0,3.6809213161468506
2.625,896.0,3.700955390930176
2.625,896.0,3.7205636501312256
2.625,896.0,3.740683078765869
2.61328125,892.0,3.7603230476379395
2.625,896.0,3.7809641361236572
2.61328125,892.0,3.80007004737854
2.625,896.0,3.820585250854492
2.625,896.0,3.8405098915100098
2.61328125,892.0,3.860381841659546
2.61328125,892.0,3.8805768489837646
2.61328125,892.0,3.899838447570801
2.61328125,892.0,3.9203484058380127
2.6162109375,893.0,3.9405808448791504
2.625,896.0,3.9601502418518066
2.625,896.0,3.9802565574645996
2.625,896.0,3.9994380474090576
2.625,896.0,4.020067453384399
2.625,896.0,4.039957046508789
2.61328125,892.0,4.0595338344573975
2.625,896.0,4.0799994468688965
2.625,896.0,4.098989963531494
2.625,896.0,4.119744777679443
2.61328125,892.0,4.13923978805542
2.61328125,892.0,4.159733057022095
2.61328125,892.0,4.179708003997803
2.625,896.0,4.199378728866577
2.625,896.0,4.218985319137573
2.61328125,892.0,4.23935079574585
2.61328125,892.0,4.2590272426605225
2.625,896.0,4.2791383266448975
2.61328125,892.0,4.298381328582764
2.625,896.0,4.3188252449035645
2.625,896.0,4.338318109512329
2.61328125,892.0,4.358754873275757
2.625,896.0,4.377833843231201
2.625,896.0,4.3987367153167725
2.625,896.0,4.418643236160278
2.625,896.0,4.4385175704956055
2.625,896.0,4.458041667938232
2.625,896.0,4.477499485015869
2.61328125,892.0,4.498080253601074
2.625,896.0,4.517662286758423
2.61328125,892.0,4.537625551223755
2.61328125,892.0,4.557501316070557
2.625,896.0,4.57797646522522
2.61328125,892.0,4.59758996963501
2.625,896.0,4.617450952529907
2.61328125,892.0,4.637585878372192
2.61328125,892.0,4.657344818115234
2.61328125,892.0,4.676809310913086
2.61328125,892.0,4.697083234786987
2.625,896.0,4.7174317836761475
2.625,896.0,4.737415313720703
2.61328125,892.0,4.757176399230957
2.625,896.0,4.776693820953369
2.625,896.0,4.7970616817474365
2.61328125,892.0,4.816460371017456
2.61328125,892.0,4.836986541748047
2.6162109375,893.0,4.85664963722229
2.61328125,892.0,4.876882791519165
2.625,896.0,4.896756649017334
2.61328125,892.0,4.9165098667144775
2.625,896.0,4.936477184295654
2.625,896.0,4.95628547668457
2.61328125,892.0,4.97629451751709
2.6162109375,893.0,4.996350526809692
2.625,896.0,5.0163023471832275
2.625,896.0,5.036068677902222
2.625,896.0,5.056151866912842
2.61328125,892.0,5.075995445251465
2.61328125,892.0,5.095325231552124
2.625,896.0,5.115572929382324
2.625,896.0,5.1348206996917725
2.61328125,892.0,5.1552417278289795
2.61328125,892.0,5.175729751586914
2.625,896.0,5.195048570632935
2.61328125,892.0,5.215527057647705
2.6162109375,893.0,5.2351226806640625
2.61328125,892.0,5.254176139831543
